cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML|N=500|scm0,DML,500,scm0,0.0,1861797238,0.010766306260216551,0.014009971579534744,-0.016693238035671548,0.03822585055610465
DML|N=500|scm0,DML,500,scm0,0.0,97740848,0.013646025573788313,0.014905480365017739,-0.015568715941646454,0.04286076708922308
DML|N=500|scm0,DML,500,scm0,0.0,1323733404,0.04038511893695855,0.01644300075088108,0.008156837465231638,0.07261340040868547
DML|N=500|scm0,DML,500,scm0,0.0,1866960761,0.010511515354788805,0.015965393810986744,-0.020780656514745217,0.04180368722432283
DML|N=500|scm0,DML,500,scm0,0.0,1823059628,0.007248503367012223,0.013802772708374685,-0.01980493114140216,0.034301937875426604
DML|N=500|scm0,DML,500,scm0,0.0,1856796253,0.02287430029045216,0.014951906051827436,-0.006431435571129615,0.05218003615203393
DML|N=500|scm0,DML,500,scm0,0.0,701991120,0.022806867866905726,0.013511158989617017,-0.0036750037527436274,0.04928873948655508
DML|N=500|scm0,DML,500,scm0,0.0,1773752049,-0.02861154152558468,0.01389438952841123,-0.05584454500127069,-0.0013785380498986706
DML|N=500|scm0,DML,500,scm0,0.0,1626174432,-0.004209383935816873,0.017419991291849245,-0.038352566867841394,0.02993379899620765
DML|N=500|scm0,DML,500,scm0,0.0,1469217671,3.840521727047916e-05,0.015013455602270364,-0.029387967763179434,0.02946477819772039
DML|N=500|scm0,DML,500,scm0,0.0,440987972,0.027091016692548438,0.014942797689811495,-0.002196866779482092,0.05637890016457897
DML|N=500|scm0,DML,500,scm0,0.0,1732371835,0.019965242086852332,0.013619177404620441,-0.006728345626203731,0.046658829799908395
DML|N=500|scm0,DML,500,scm0,0.0,95413088,-0.0034838722117051424,0.013987256711567198,-0.030898895366376848,0.023931150942966564
DML|N=500|scm0,DML,500,scm0,0.0,1179547994,0.00935112138891846,0.01578407100756203,-0.02158565778590312,0.04028790056374004
DML|N=500|scm0,DML,500,scm0,0.0,1994479278,-0.011481362820957679,0.01521225453702867,-0.04129738171353387,0.018334656071618514
DML|N=500|scm0,DML,500,scm0,0.0,948556736,-0.003943234920240494,0.013740152965781887,-0.030873934733172993,0.022987464892692003
DML|N=500|scm0,DML,500,scm0,0.0,476690686,-0.011387323296064242,0.014068582874066947,-0.038961745729235456,0.016187099137106975
DML|N=500|scm0,DML,500,scm0,0.0,1562001621,0.026276889915497446,0.015935868575054163,-0.004957412491608713,0.057511192322603606
DML|N=500|scm0,DML,500,scm0,0.0,1670553253,0.013959492608003329,0.013671392122626075,-0.012836435952343777,0.04075542116835043
DML|N=500|scm0,DML,500,scm0,0.0,173207441,0.02886325124917187,0.01469929218971047,5.263855733934897e-05,0.05767386394100439
DML|N=500|scm0,DML,500,scm0,0.0,118342317,0.006167372222856232,0.014869863961602812,-0.02297756114188528,0.03531230558759774
DML|N=500|scm0,DML,500,scm0,0.0,844513893,0.0007107354869267979,0.012519964445523016,-0.023828394826298314,0.02524986580015191
DML|N=500|scm0,DML,500,scm0,0.0,138027235,0.00906141916135702,0.01447375199460948,-0.019307134748077562,0.0374299730707916
DML|N=500|scm0,DML,500,scm0,0.0,575823379,0.006440376897443167,0.015580712279260335,-0.02409781916990709,0.03697857296479343
DML|N=500|scm0,DML,500,scm0,0.0,1513729301,0.00750762284198179,0.016164607057381118,-0.0241750069904852,0.039190252674448776
DML|N=500|scm0,DML,500,scm0,0.0,1243976772,-0.010785386530150456,0.015074675821381386,-0.04033175114005797,0.01876097807975706
DML|N=500|scm0,DML,500,scm0,0.0,1462186296,-0.0018693899290620443,0.014639531842788612,-0.030562872340927725,0.026824092482803635
DML|N=500|scm0,DML,500,scm0,0.0,1885395778,-0.016734613726516426,0.014272558158745296,-0.044708827717657204,0.011239600264624353
DML|N=500|scm0,DML,500,scm0,0.0,382779111,0.02818417407658751,0.014935532247195791,-0.0010894691279162393,0.057457817281091256
DML|N=500|scm0,DML,500,scm0,0.0,818358625,-0.00016240515751535708,0.015649955140667755,-0.030836317233224157,0.030511506918193446
DML|N=500|scm0,DML,500,scm0,0.0,63639088,-0.010106374083900528,0.01401706110013453,-0.037579813840164206,0.017367065672363152
DML|N=500|scm0,DML,500,scm0,0.0,1902629588,0.015473884957601136,0.015300212650957386,-0.01451453183827534,0.04546230175347761
DML|N=500|scm0,DML,500,scm0,0.0,142666502,0.02495847827652789,0.01615892660491251,-0.0067130178691006265,0.05662997442215641
DML|N=500|scm0,DML,500,scm0,0.0,940727775,0.016668976345603166,0.01484774333195439,-0.012432600585027438,0.04577055327623377
DML|N=500|scm0,DML,500,scm0,0.0,1103183273,0.01118244291988731,0.015598386268820008,-0.019390394166999905,0.041755280006774524
DML|N=500|scm0,DML,500,scm0,0.0,1089976893,0.03281355787576316,0.016715953967716586,5.028809903864784e-05,0.06557682765248767
